code,area,link
801011001,Aranda,https://dbr.abs.gov.au/json/csv/SA2_801011001.csv
801011002,Belconnen,https://dbr.abs.gov.au/json/csv/SA2_801011002.csv
801011003,Bruce,https://dbr.abs.gov.au/json/csv/SA2_801011003.csv
801011004,Charnwood,https://dbr.abs.gov.au/json/csv/SA2_801011004.csv
801011005,Cook,https://dbr.abs.gov.au/json/csv/SA2_801011005.csv
801011006,Dunlop,https://dbr.abs.gov.au/json/csv/SA2_801011006.csv
801011007,Evatt,https://dbr.abs.gov.au/json/csv/SA2_801011007.csv
801011008,Florey,https://dbr.abs.gov.au/json/csv/SA2_801011008.csv
801011009,Flynn (ACT),https://dbr.abs.gov.au/json/csv/SA2_801011009.csv
801011010,Fraser,https://dbr.abs.gov.au/json/csv/SA2_801011010.csv
801011011,Giralang,https://dbr.abs.gov.au/json/csv/SA2_801011011.csv
801011012,Gooromon,https://dbr.abs.gov.au/json/csv/SA2_801011012.csv
801011013,Hawker,https://dbr.abs.gov.au/json/csv/SA2_801011013.csv
801011014,Higgins,https://dbr.abs.gov.au/json/csv/SA2_801011014.csv
801011015,Holt,https://dbr.abs.gov.au/json/csv/SA2_801011015.csv
801011016,Kaleen,https://dbr.abs.gov.au/json/csv/SA2_801011016.csv
801011017,Latham,https://dbr.abs.gov.au/json/csv/SA2_801011017.csv
801011018,Lawson,https://dbr.abs.gov.au/json/csv/SA2_801011018.csv
801011019,Macgregor (ACT),https://dbr.abs.gov.au/json/csv/SA2_801011019.csv
801011020,Macquarie,https://dbr.abs.gov.au/json/csv/SA2_801011020.csv
801011021,McKellar,https://dbr.abs.gov.au/json/csv/SA2_801011021.csv
801011022,Melba,https://dbr.abs.gov.au/json/csv/SA2_801011022.csv
801011023,Page,https://dbr.abs.gov.au/json/csv/SA2_801011023.csv
801011024,Scullin,https://dbr.abs.gov.au/json/csv/SA2_801011024.csv
801011025,Spence,https://dbr.abs.gov.au/json/csv/SA2_801011025.csv
801011026,Weetangera,https://dbr.abs.gov.au/json/csv/SA2_801011026.csv
801011111,Molonglo Corridor,https://dbr.abs.gov.au/json/csv/SA2_801011111.csv
801011142,Macnamara,
801011143,Strathnairn,
801011144,West Belconnen,
801031031,Hume,https://dbr.abs.gov.au/json/csv/SA2_801031031.csv
801031032,Kowen,https://dbr.abs.gov.au/json/csv/SA2_801031032.csv
801031113,Canberra East,https://dbr.abs.gov.au/json/csv/SA2_801031113.csv
801031114,Canberra Airport,https://dbr.abs.gov.au/json/csv/SA2_801031114.csv
801031115,Majura,https://dbr.abs.gov.au/json/csv/SA2_801031115.csv
801041034,Amaroo,https://dbr.abs.gov.au/json/csv/SA2_801041034.csv
801041035,Bonner,https://dbr.abs.gov.au/json/csv/SA2_801041035.csv
801041036,Casey,https://dbr.abs.gov.au/json/csv/SA2_801041036.csv
801041037,Crace,https://dbr.abs.gov.au/json/csv/SA2_801041037.csv
801041038,Forde,https://dbr.abs.gov.au/json/csv/SA2_801041038.csv
801041039,Franklin,https://dbr.abs.gov.au/json/csv/SA2_801041039.csv
801041040,Gungahlin,https://dbr.abs.gov.au/json/csv/SA2_801041040.csv
801041043,Hall,https://dbr.abs.gov.au/json/csv/SA2_801041043.csv
801041044,Harrison,https://dbr.abs.gov.au/json/csv/SA2_801041044.csv
801041045,Mitchell,https://dbr.abs.gov.au/json/csv/SA2_801041045.csv
801041046,Ngunnawal,https://dbr.abs.gov.au/json/csv/SA2_801041046.csv
801041047,Nicholls,https://dbr.abs.gov.au/json/csv/SA2_801041047.csv
801041048,Palmerston,https://dbr.abs.gov.au/json/csv/SA2_801041048.csv
801041116,Gungahlin - East,https://dbr.abs.gov.au/json/csv/SA2_801041116.csv
801041117,Gungahlin - West,https://dbr.abs.gov.au/json/csv/SA2_801041117.csv
801041118,Jacka,https://dbr.abs.gov.au/json/csv/SA2_801041118.csv
801041119,Kenny,https://dbr.abs.gov.au/json/csv/SA2_801041119.csv
801041120,Moncrieff,https://dbr.abs.gov.au/json/csv/SA2_801041120.csv
801041121,Taylor,https://dbr.abs.gov.au/json/csv/SA2_801041121.csv
801041122,Throsby,https://dbr.abs.gov.au/json/csv/SA2_801041122.csv
801051049,Acton,https://dbr.abs.gov.au/json/csv/SA2_801051049.csv
801051050,Ainslie,https://dbr.abs.gov.au/json/csv/SA2_801051050.csv
801051051,Braddon,https://dbr.abs.gov.au/json/csv/SA2_801051051.csv
801051053,Civic,https://dbr.abs.gov.au/json/csv/SA2_801051053.csv
801051054,Dickson,https://dbr.abs.gov.au/json/csv/SA2_801051054.csv
