code,area,population,population growth,population density,median age,children under 15,people over 64,fertility rate,Indigenous,born in Oceania,born in north-west Europe,born in southern & eastern Europe,born in north Africa & Middle East,born in south-east Asia,born in north-east Asia,born in southern & central Asia,born in Americas,born in sub-Saharan Africa,born overseas,religious,speaks English at home,median house price,median income,low income (bottom quartile),high income (top quartile),postgraduates,uni grads),jobs: managers,jobs: professionals,jobs: technicians & trades,jobs: community work,jobs: clerical,jobs: sales,jobs: machinery & drivers,jobs: labourers,home owners (outright),home owners (mortage),renters,detached houses,disadvantaged (bottom quartiler),advantaged (top quartiler),articial surfaces,lng,lat
801011001,Aranda,2501.0,1.0166666666666666,1600.0,42.8,265.0,212.0,1.95,0.7,1.5,7.1,2.5,0.5,2.5,5.2,2.0,1.5,1.1,24.1,57.0,100.0,897500.0,70246.0,18.7,41.0,19.8,56.1,16.2,41.6,6.5,7.5,11.4,6.2,1.0,8.4,44.4,34.4,18.5,831.0,7.4,44.6,,149.08040991196629,-35.25815804005734
801011002,Belconnen,7634.0,1.1692449073364988,1724.8,31.0,380.0,254.0,1.01,1.2,1.8,3.9,2.0,2.4,7.2,16.3,9.0,2.1,1.3,46.2,57.1,98.8,,56580.0,23.1,25.7,14.5,45.6,9.5,35.2,8.0,15.2,11.8,8.1,2.0,8.4,9.4,19.8,68.0,867.0,15.2,19.8,0.0135135135135135,149.0676249375105,-35.23565157565873
801011003,Bruce,7679.0,1.0859850091924763,1324.5,28.0,394.0,346.0,1.01,0.8,1.7,3.5,1.8,1.8,5.5,15.0,5.9,2.1,1.3,38.4,55.8,98.1,990000.0,58418.0,23.3,30.3,13.2,45.1,11.5,37.4,7.9,13.8,12.0,7.3,1.7,6.8,18.0,21.7,56.9,1512.0,7.2,30.9,0.0052173913043478,149.09083498157926,-35.24404015148164
801011004,Charnwood,2860.0,0.9410990457387298,1541.0,35.7,347.0,177.0,2.36,3.1,1.9,4.9,1.8,1.0,4.9,1.0,1.2,1.9,0.9,19.4,76.1,86.0,502500.0,58169.0,19.3,25.3,3.9,18.3,8.6,19.3,13.8,13.8,16.9,9.0,1.0,16.6,21.6,44.1,31.5,1108.0,23.3,19.7,0.0245398773006134,149.03412954087813,-35.20017651912404
801011005,Cook,2810.0,0.9626584446728332,1775.0,43.5,254.0,235.0,1.9,1.3,1.5,8.2,2.6,0.8,3.3,3.0,2.4,2.4,0.8,25.1,58.1,85.7,787500.0,68674.0,17.1,39.1,18.7,52.7,9.8,47.8,5.6,8.4,9.8,6.7,0.8,6.5,38.2,35.1,24.5,1124.0,12.0,39.1,0.0192307692307692,149.06639691602703,-35.26007429684461
801011006,Dunlop,7131.0,0.9825020666850371,1985.9,35.4,902.0,291.0,1.92,2.2,1.8,4.1,1.9,0.9,3.8,1.6,3.6,1.4,1.1,20.2,77.5,97.4,610000.0,67903.0,15.8,33.9,5.8,24.4,11.4,27.6,10.4,12.9,17.1,6.8,3.2,8.5,18.2,61.4,18.8,2322.0,9.9,38.4,0.016260162601626,149.01981575285862,-35.19399292109814
801011007,Evatt,5207.0,0.9725438924168844,1701.5,38.1,608.0,368.0,1.82,1.7,1.3,4.8,2.5,0.8,2.5,2.0,2.0,1.6,1.0,18.8,69.7,103.5,627500.0,62317.0,18.4,30.7,7.4,29.6,15.6,29.8,10.2,12.4,13.8,5.1,2.7,8.7,33.9,43.0,21.1,1814.0,12.2,33.4,0.0106761565836298,149.0689187532509,-35.21189260411921
801011008,Florey,4655.0,0.936431301548984,1689.4,39.2,437.0,364.0,1.71,1.5,1.8,4.4,3.5,1.0,6.6,4.5,5.3,1.5,1.2,30.1,73.8,98.5,745000.0,59613.0,20.9,28.9,8.5,32.3,11.6,28.0,10.1,14.9,13.4,7.2,3.6,9.7,32.5,28.9,35.9,1769.0,20.4,29.8,0.03125,149.050001680978,-35.225869561272525
801011009,Flynn,3369.0,0.9717334871646957,1607.7,40.0,370.0,258.0,2.23,1.6,1.8,5.9,2.3,0.7,2.0,1.3,0.8,1.1,1.0,17.0,68.8,84.9,625000.0,65275.0,18.8,33.3,7.0,29.5,13.6,26.2,12.6,9.6,23.2,7.6,2.6,4.0,35.8,45.4,16.4,1131.0,10.0,35.6,0.0136986301369863,149.04389703976636,-35.205912388793365
801011010,Fraser,1960.0,0.9450337512054002,791.9,43.7,184.0,210.0,2.1,1.7,1.4,8.4,1.1,0.4,0.8,0.7,0.4,1.1,1.1,15.5,55.9,94.1,725000.0,62694.0,18.2,33.0,6.9,31.4,16.0,28.8,14.7,8.6,16.0,4.9,5.5,8.0,37.8,48.4,11.8,669.0,7.3,38.4,0.0122950819672131,149.0453445741244,-35.1916886652092
